#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
CB_NAME_FALL_OF_ROME;Depose the Emperor;;;;;;;;;;;;;x
cb_anglosaxon_invasion;Anglo-Saxon Invasion;;;;;;;;;;;;;x
#
roman_group;Roman;;;;;;;;;;;;;x
roman;Roman;;;;;;;;;;;;;x
gallo_roman;Gallic;;;;;;;;;;;;;x
hispano_roman;Hispanian;;;;;;;;;;;;;x
romano_british;Britannian;;;;;;;;;;;;;x
mauro_roman;Maurian;;;;;;;;;;;;;x
graeci;Graeci;;;;;;;;;;;;;x
pannonian;Illyrian;;;;;;;;;;;;;x
#
germani;Germani;;;;;;;;;;;;;x
franci;Frankish;;;;;;;;;;;;;x
thuringi;Thuringian;;;;;;;;;;;;;x
burgundi;Burgundian;;;;;;;;;;;;;x
alemanni;Alemannic;;;;;;;;;;;;;x
langobardi;Langobard;;;;;;;;;;;;;x
angli;Anglo-Saxon;;;;;;;;;;;;;x
saxoni;Saxon;;;;;;;;;;;;;x
frisii;Frisian;;;;;;;;;;;;;x
#
gothic;Gothic;;;;;;;;;;;;;x
visigothi;Visigothic;;;;;;;;;;;;;x
ostrogothi;Ostrogothic;;;;;;;;;;;;;x
burgundi;Burgundian;;;;;;;;;;;;;x
vandal;Vandal;;;;;;;;;;;;;x
suebi;Suebian;;;;;;;;;;;;;x
thuida;Thuida;;;;;;;;;;;;;x
gepid;Gepid;;;;;;;;;;;;;x
#
vasconic;Vasconic;;;;;;;;;;;;;x
vasconian;Vasconian;;;;;;;;;;;;;x
aquitanian;Aquitanian;;;;;;;;;;;;;x
#
moorish;Moorish;;;;;;;;;;;;;x
moor;Moor;;;;;;;;;;;;;x
#
early_slavic;Slavic;;;;;;;;;;;;;x
veneti;Veneti;;;;;;;;;;;;;x
sklaveni;Sclavenian;;;;;;;;;;;;;x
antes;Antean;;;;;;;;;;;;;x
#
scythic;Scythic;;;;;;;;;;;;;x
hun;Hun;;;;;;;;;;;;;x
sarmatian;Sarmatian;;;;;;;;;;;;;x
#
protonorse;Scandian;;;;;;;;;;;;;x
#
coptic;Coptic;;;;;;;;;;;;;x
#
bedouin_arabic;Arabic;;;;;;;;;;;;;x
#
roman_imperial_government;Imperial;;;;;;;;;;;;;x
roman_imperial_government_desc;The Imperial form of government depends on a strong bureaucracy and centralized administration to function properly. In the hands of a weak ruler, the entire realm can unravel at the seams.;;;;;;;;;;;;;x
gov_roman_empire;Roman Empire;;;;;;;;;;;;;x
gov_barbarian_pretender;Barbarian Pretender;;;;;;;;;;;;;x
gov_persian_empire;Persian Empire;;;;;;;;;;;;;x
sub_roman_government;Sub-Roman;;;;;;;;;;;;;x
sub_roman_government_desc;Sub-Roman Government is a despotic and organised system of governance employed by former territories of the Roman Empire as part of their weakening understanding of Roman culture and practices.;;;;;;;;;;;;;x
gov_barbarian_kingdom;Barbarian Kingdom;;;;;;;;;;;;;x
gov_petty_tyranny;Petty Tyranny;;;;;;;;;;;;;x
gov_independent_civitas;Independent Civitas;;;;;;;;;;;;;x
warlord_government;Warlord;;;;;;;;;;;;;x
warlord_government_desc;Warlordism relies on a "strong man" to exercise military, economic and political power on a disorganized, ad hoc basis. Warlord realms have few political institutions and even less rule of law.;;;;;;;;;;;;;x
gov_heroic_realm;Heroic Realm;;;;;;;;;;;;;x
gov_barbarian_realm;Barbarian Realm;;;;;;;;;;;;;x
gov_civilized_refuge;Civilized Refuge;;;;;;;;;;;;;x
#
PRIMATE;Primate;;;;;;;;;;;;;x
nicene;Nicene;;;;;;;;;;;;;x
nicene_DESC;When the Roman Emperor Constantine I ended centuries of persecution and began embracing early Christianity, one of his major projects was to seek theological conformity within Christendom. To this end, he convened the First Council of Nicaea in 325. After much debate, this council produced the Nicene Creed, outlining explicitly some of the central tenets of mainstream Christianity. This form of Christianity, embraced by the Roman Empire in the 4th and 5th centuries, is thus called 'Nicene' Christianity, although 'Chalcedonian', in reference to the 451 Council of Chalcedon, is also sometimes used.;;;;;;;;;;;;;x
