#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
israelite;Semitic;;;;;;;;;;;;;x
central_germanic;Germani;;;;;;;;;;;;;x
maghreb_arabic;Berber;;;;;;;;;;;;;x
welsh;Briton;;;;;;;;;;;;;x
pommeranian;Wendish;;;;;;;;;;;;;x
#
c_amiens_adj;Suessionan;;;;;;;;;;;;;x
b_peronne;Perunna;;;;;;;;;;;;;x
b_amiens;Ambianorum;;;;;;;;;;;;;x
b_beauvais;Bellovacum;;;;;;;;;;;;;x
b_soissons;Suessionum;;;;;;;;;;;;;x
b_corbie;Setuci;;;;;;;;;;;;;x
b_noyon;Noviomagus;;;;;;;;;;;;;x
b_montdidier;Desideriacum;;;;;;;;;;;;;x
b_breteuil;Brituogilum;;;;;;;;;;;;;x
c_reims_adj;Rheman;;;;;;;;;;;;;x
b_reims;Rementium;;;;;;;;;;;;;x
b_chateauthierry;Odomagus;;;;;;;;;;;;;x
b_provins;Profundis;;;;;;;;;;;;;x
b_chalons;Catalaunum;;;;;;;;;;;;;x
b_chatillon;Castellum;;;;;;;;;;;;;x
b_vertus;Virotus;;;;;;;;;;;;;x
b_epernay;Sparnacum;;;;;;;;;;;;;x
b_roucy;Rosci;;;;;;;;;;;;;x
c_ile_de_france_adj;Parisian;;;;;;;;;;;;;x
b_paris;Parisius;;;;;;;;;;;;;x
b_melun;Meledunum;;;;;;;;;;;;;x
b_stdenis;Catulliacus;;;;;;;;;;;;;x
b_meaux;Meldorum;;;;;;;;;;;;;x
b_etampes;Stampae;;;;;;;;;;;;;x
b_montfortlamaury;Nemetodurum;;;;;;;;;;;;;x
b_senlis;Silvanectium;;;;;;;;;;;;;x
b_compiegne;Compendium;;;;;;;;;;;;;x
c_lyon_adj;Lugdunan;;;;;;;;;;;;;x
c_vermandois;Viromandian;;;;;;;;;;;;;x
b_anse;Asa Paulini;;;;;;;;;;;;;x
b_brindas;Briendaco;;;;;;;;;;;;;x
b_chessy;Mediolanum;;;;;;;;;;;;;x
b_coucy;Viromandis;;;;;;;;;;;;;x
b_crepy;Crispiacum;;;;;;;;;;;;;x
b_guise;Cutium;;;;;;;;;;;;;x
b_irigny;Ireniacum;;;;;;;;;;;;;x
b_lacenas;Insula Barbara;;;;;;;;;;;;;x
b_laon;Laudunum;;;;;;;;;;;;;x
b_lyon;Lugdunum;;;;;;;;;;;;;x
b_montaigu;Mons Acutus;;;;;;;;;;;;;x
b_pusignan;Pusinianum;;;;;;;;;;;;;x
b_rethel;Reistete;;;;;;;;;;;;;x
b_signy;Contra Aginnum;;;;;;;;;;;;;x
b_stjeanbaptiste;Octavus;;;;;;;;;;;;;x
b_stquentin;Viromanduorum;;;;;;;;;;;;;x
c_artois_adj;Atrebatian;;;;;;;;;;;;;x
b_arras;Atrebatum;;;;;;;;;;;;;x
b_terwaan;Tervanna;;;;;;;;;;;;;x
b_bethune;Minariacum;;;;;;;;;;;;;x
b_lens;Lenna;;;;;;;;;;;;;x
b_lille;Treola;;;;;;;;;;;;;x
b_bouvines;Bovinum;;;;;;;;;;;;;x
b_beaumetz;Bellomansum;;;;;;;;;;;;;x
b_bapaume;Lambrus;;;;;;;;;;;;;x
c_boulogne_adj;Bolonian;;;;;;;;;;;;;x
b_boulogne;Bolonia;;;;;;;;;;;;;x
b_montreuil;Monasteriolum;;;;;;;;;;;;;x
b_saintpol;Portus Itius;;;;;;;;;;;;;x
b_hesdin;Lintomagus;;;;;;;;;;;;;x
b_fauquembergues;Marcis;;;;;;;;;;;;;x
b_ternouis;Ad Lullia;;;;;;;;;;;;;x
b_therouanne;Taruana;;;;;;;;;;;;;x
b_ardres;Briga;;;;;;;;;;;;;x
c_guines_adj;Caletian;;;;;;;;;;;;;x
b_guines;Ghisnae;;;;;;;;;;;;;x
b_saintomer;Sithiu;;;;;;;;;;;;;x
b_calais;Calesium;;;;;;;;;;;;;x
b_dunkerque;Dunquerca;;;;;;;;;;;;;x
b_bourbourg;Burgusinbroco;;;;;;;;;;;;;x
b_marck;Merca;;;;;;;;;;;;;x
b_gravelines;Garouinum;;;;;;;;;;;;;x
b_coulogne;Colonia;;;;;;;;;;;;;x
c_yperen_adj;Menapian;;;;;;;;;;;;;x
b_ypres;Ypra;;;;;;;;;;;;;x
b_rosebeke;Legia;;;;;;;;;;;;;x
b_cassel;Menapiorum;;;;;;;;;;;;;x
b_roeselare;Rollare;;;;;;;;;;;;;x
b_poperinge;Pupurningahem;;;;;;;;;;;;;x
b_menen;Halleuinum;;;;;;;;;;;;;x
b_diksmuide;Dicasmutha;;;;;;;;;;;;;x
b_wervik;Viroviacum;;;;;;;;;;;;;x
c_brugge_adj;Flandrian;;;;;;;;;;;;;x
b_brugge;Bruccia;;;;;;;;;;;;;x
b_damme;Dammum;;;;;;;;;;;;;x
b_sluys;Sclusa;;;;;;;;;;;;;x
b_oostende;Dicasmuda;;;;;;;;;;;;;x
b_male;Mallum;;;;;;;;;;;;;x
b_nieuwpoort;Novus Portus;;;;;;;;;;;;;x
b_torhout;Turholt;;;;;;;;;;;;;x
b_aardenburg;Rodanum;;;;;;;;;;;;;x
c_gent_adj;Gandan;;;;;;;;;;;;;x
b_gent;Ganda;;;;;;;;;;;;;x
