#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
germani;Germani;;;;;;;;;;;;;x
gothic;Gothic;;;;;;;;;;;;;x
romantic;Romantic;;;;;;;;;;;;;x
semitic;Semitic;;;;;;;;;;;;;x
moorish;Moorish;;;;;;;;;;;;;x
alemannic;Alemannic;;;;;;;;;;;;;x
assyrian;Assyrian;;;;;;;;;;;;;x
britto;Britto;;;;;;;;;;;;;x
brython;Brython;;;;;;;;;;;;;x
burgundian;Burgundian;;;;;;;;;;;;;x
galloroman;Gallo-Roman;;;;;;;;;;;;;x
gepid;Gepid;;;;;;;;;;;;;x
graeci;Graeci;;;;;;;;;;;;;x
iberoroman;Ibero-Roman;;;;;;;;;;;;;x
hebrew;Hebrew;;;;;;;;;;;;;x
hispani;Hispani;;;;;;;;;;;;;x
hunnic;Hunnic;;;;;;;;;;;;;x
mauri;Mauri;;;;;;;;;;;;;x
ostrogothic;Ostrogothic;;;;;;;;;;;;;x
punic;Punic;;;;;;;;;;;;;x
rumonei;Rumonei;;;;;;;;;;;;;x
thuringian;Thuringian;;;;;;;;;;;;;x
vandal;Vandal;;;;;;;;;;;;;x
vasconian;Vasconian;;;;;;;;;;;;;x
druidic;Druidic;;;;;;;;;;;;;x
nicene;Nicene;;;;;;;;;;;;;x
nicene_DESC;When the Roman Emperor Constantine I ended centuries of persecution and began embracing early Christianity, one of his major projects was to seek theological conformity within Christendom. To this end, he convened the First Council of Nicaea in 325. After much debate, this council produced the Nicene Creed, outlining explicitly some of the central tenets of mainstream Christianity. This form of Christianity, embraced by the Roman Empire in the 4th and 5th centuries, is thus called 'Nicene' Christianity, although 'Chalcedonian', in reference to the 451 Council of Chalcedon, is also sometimes used.;;;;;;;;;;;;;x
arian;Arian;;;;;;;;;;;;;x
arian_DESC;Arianism was branded a heresy at the 325 Council of Nicaea for its rejection of the Holy Trinity, instead viewing Jesus, the Son of God, as subordinate to God the Father, rather than his equal, which is the Trinitarian view endorsed by the Nicene Creed. Although Arianism was thus rejected by authorities within the Roman Empire, Arianism fluorished amongst Germanic Christian converts, in particular gaining much influence within the Gothic tribes.;;;;;;;;;;;;;x
